Tweet,label
RT @breathiingo: i wanna die. i don’t deserve a piece of anything. i don’t belong anywhere. i’m sick and tired of everything. the same peop…,Suicidal
"@bwagy its good people like you, aren't scared to say the real tweets! transparency is shown for real! cheers",Not suicidal
It's always great to hear from actors whom I've directed! Trying to encourage them to join Twitter!,Not suicidal
@Fortitia how's it cooking? looking forward to having a taste later.,Not suicidal
,Suicidal
i’m so tired of living,Suicidal
"@shelleybookworm Hah! Round is a shape, indeed, and there are round parts of me I'd like to plane down.",Not suicidal
"@Jane_rodriguezz,Cotulla, TX  //  Lacoste, TX,RT @jaemverse: i just dont want to be here anymore",Suicidal
@fitnessbox Watch this space. Not sure how viable it is yet. Possibly though,Not suicidal
"@ad8871,Michigan, USA,@MelaynaLokosky @ravenvanderrave Hi, I know you are scrambling to escape with no time to even save your pets or family heirlooms lest you burn alive. I know entire towns have burned to the ground and hundreds of thousands are homeless evacuees. But please take some time to let ME know how to help",Suicidal
A tweet tweet here and a tweet tweet there! Goodniiiight!!,Not suicidal
i think it was my lack of saying anything at all that was pretty stupid when i met harry. i was acting all cool and… https://t.co/lpdqwGeI8J,Suicidal
RT @CoreyBBrooks: Living in the Hood can be really tough. I am tired of losing people to the violence. I will not give up! https://t.co/zjY…,Suicidal
@olimould Lewis,Not suicidal
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye 😭😭😭😭 a… https://t.co/B4hM6MjQRe",Suicidal
"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone t…",Suicidal
@gilloux I hope you're planning a kennel launch party,Not suicidal
I'm attempting to make Hot Cross Buns with Bella &amp; Ari,Not suicidal
My grandpas wrist is bleeding really bad he cut it on accident 😩,Suicidal
@coy0te Sure! But would i be a rebel for not waiting til Follow Friday? haha,Not suicidal
"@TomFelton Oh, we have &quot;Antiques Roadshow.&quot; It is strangely addictive. It's kind of funny when people find out their junk is worthless",Not suicidal
@harbars managed to fix broken moss in 2 min and save demo. Well done #spbpuk,Not suicidal
THIS SUCKS MAN I REALLY DON'T KNOW WHAT I AM ABOUT TO DO ANYMORE RASH DECISIONS AFTER RASH DECISION. NO CONTROL OVE… https://t.co/sqvNu2Rxs6,Suicidal
Death scares tf out of me and i am not ready to die,Suicidal
Dunno why my phones done me so dirty and made videos of me and my ex’s Cos of face recognition with the background… https://t.co/x6KfbmgBP9,Suicidal
@7anno he is a son of one of my friends,Not suicidal
@missy1994 dude i am SO jealous! goin to buy some on thurs,Not suicidal
"@AmandaFPatton haha, well it's never a permanent state for me (offline)",Not suicidal
@realDonaldTrump It already is! At least in France one doesn't die/loss everything when get sick &amp; have at least 1… https://t.co/QYN3ku1Q8T,Suicidal
"Downloaded the pollock app, I quite like it! Drew a flower lolz http://twitpic.com/2y7t8",Not suicidal
@dizzyhrvy that crap took me forever to put together. i’m going to go sleep for DAYS,Suicidal
@WilliamSledd Love the videos William New to twitter x,Not suicidal
RT @albanese778: I fucking miss you :( but you’re probably better off without me.,Suicidal
@nerdd I was pretty sure that you were checking new Tweets on your iPhone during the meeting,Not suicidal
all influencers want to be comedians and all comedians want to be dead.,Suicidal
@TayJasper alrite thanxx,Not suicidal
@TairrieB recorded what?,Not suicidal
@Leela89 was that reply to me or yourself? XD I wouldn't say you make many mistakes,Not suicidal
Can i be helped?,Suicidal
damn i really only have 4 hours to start and finish this paper for tomorrow i hate myself,Suicidal
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not suicidal
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers a… https://t.co/WQqDasF7n4",Suicidal
"@julienviet the fluider an interface, the better, regardless of the purpose",Not suicidal
Congratulations to our 5 lucky winners! 🎉,Not suicidal
has just joined twitter,Not suicidal
@diablocody I LOVED YOU ON CHELSEA LATELY!!,Not suicidal
maybe i think i deserve to die,Suicidal
I deadass hate my damn PSN name. I wish I named myself Powerpuff234 .. There is at least one person in every 2-3 ga… https://t.co/hKPPloS2WZ,Suicidal
I swear it doesn’t matter what time I go to sleep my body forever wakes up tired,Suicidal
"oh shit!! this could get out of hand and theres no dancing at my place!! no hoe down, no shindig! nada",Not suicidal
"hey hey hey, just joined Twitter. sounds like a nice thing",Not suicidal
@yahoops thanks David,Not suicidal
Its fucking cold 😩 i hate working at 4 Am tf did i sign up for 😭why did i do this to myself damn it,Suicidal
love the way skype fades music back in when a call ends... i'm so easily impressed,Not suicidal
Why did I even come back I want to fucking die I'm tired of everything,Suicidal
@helloitsliam todd loves steps,Not suicidal
Ive had enough of life and the pain it causes,Suicidal
How to overcome the frustration,Suicidal
Happy birthday big guy keep up the good work @Brandon_Leach7,Not suicidal
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not suicidal
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not suicidal
RT @BigDaddyJ_WWR: Congratulations on your #WWE Championship win #DanielBryan and the heel turn but you’re going to need more than luck for…,Not suicidal
"@MrBez1, Staffordshire UK ,@peter4077 Oh peter your rid of him now so life will only get better, dont let him get to you anymore. The tears will go and you can be free once and for all. Here is you want to chat always xxx",Suicidal
Night all.. just enjoyed a chat on connect2mums. Check it out. http://connect2mums.ning.com/,Not suicidal
@CITYPUBLICITY During revamp and shortly after. They're out of $ now &amp; in real trouble... but I'm going to be good &amp; not bag them publicy,Not suicidal
RT @myugnjuns: anyways arohas lets work hard to show our love and support for astro in this comeback as they provide us with another good,Not suicidal
i want to fucking die,Suicidal
I did not ask for any assistance at first but later and sought for assistance and it helped me in a good way,Suicidal
"@MoeruItami,[#XB2RP  | #MVRP],yeah, fuck it. im logging out. ill maybe make another account some other time and follow people i like but i really dont want to be here anymore. i dont enjoy the verse, waaay too toxic.",Suicidal
@DerrenLitten What is the software on the middle screen? I have used Adobe Premiere and Sony Vegas for amateur video making,Not suicidal
@adalinemusic you're welcome! It was a great way to be introduced to your music,Not suicidal
RT @BKSportsTalk: Glass half full/glass half empty: This #Mizzou team is legitimately pretty good. If you go by Sports Reference’s “simple…,Not suicidal
"eating pre-peeled oranges, too lazy to peel my own orange.",Not suicidal
Long. Live. Life,Not suicidal
@erickaaa haha awww. i had amazing pizza 2day for much after my photoshoot =D i will take u out hehe..u gonna answer ur fone 2night? xx,Not suicidal
ok... now I have tkts for 2nite... Fast and the Furious! hope is GREAT after being sold out for the weekend!...,Not suicidal
"In ny No flight delays, thank goodness. Las vegas was memorable! Loved fob/atl/cs concert",Not suicidal
God damn vending machines are so depressing -standing at them waiting for your sad little snack like some Pavlovian bitch! Happy Tuesday!,Not suicidal
awesome song by Press play on tape: http://www.youtube.com/watch?v=hLWw1OpDrpI geekyness at it's best,Not suicidal
"RT @no_onespecixl: Know one enjoys my company and I just make everyone miserable, everyone is better off wi",Suicidal
@ShaileeMody thats a killing smile.. i m flattered...,Not suicidal
How could I survive without my friends,Suicidal
ok legit question can I fucking kill myself I'm 100% done with life,Suicidal
Is glad she got changed 3 times this morning xD its lovely &amp; sunny,Not suicidal
@effyobie STOP SPEAKING IN SUCH A SOPHISTICATED WAY PLEASE. it's hard for me to keep up!!,Not suicidal
just watched chris moyles quiz night from last night! alan carr is too funny! he's the best,Not suicidal
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I haven’t thought of suicide your d… https://t.co/VNpWHS2zqu,Suicidal
"@RedMummy I feel better today, got some sleep and its not raining so can take the beasts out",Not suicidal
@R_Elisewrites Congratulations on all of your accomplishments! You are an amazing person inside and out! ❤️ https://t.co/98Mt8DiI7d,Not suicidal
Adam Sandler before he became shit predicted my future mental state...,Suicidal
@danielhilton I know that's real. My bf fell asleep &amp; I'm editing video... XO,Not suicidal
"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not suicidal
@intelligensia And a following four day week,Not suicidal
RT @trilllizard666: i swear some you motherfuckers WANT people to be horrible racist rapist homophobic pedophiles after they die and you gi…,Suicidal
"sitting in the sun, baking in 30 degrees - wonderful",Not suicidal
when that muffin guy said “please somebody kill me” I felt that shit,Suicidal
gonna go to school. be back around 4,Not suicidal
"@nminers Wherever the day takes us! On route to Youlgreave at mo, sun is waking up!",Not suicidal
@agpublic have you seen this link? Me thinks you might like it http://bit.ly/Mr2jY,Not suicidal
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not suicidal
@GIFTUSEEME ::::thAs goOd...i ThInk i MigHt Go HaVe fuN too,Not suicidal
http://twitpic.com/2y7tc - My bby is so adorable,Not suicidal
Now I gotta go into the bank tomorrow and see what the fuck is going on. I had problems about 3 weeks ago with a bi… https://t.co/I0WIPHXt5u,Suicidal
@studiomag http://twitpic.com/2vwii - ooo i remember this one. Picnic on the top of sennen with your burnt sausages,Not suicidal
@chipcoffey That is great to hear!! Thanks Chip!,Not suicidal
"RT @913Lucero: I wanna let it be known that if any of my homies ever, in your life feel like y’all alone or just tired of living. I’m a tex…",Suicidal
Hers my view from Canada ..for what its worth. More than half of you did..or he wouldnt be president..he treats his friends like shit..everyone is now his enemy..the USA has lost ALL respect from here..we want tou to build the wall here..cause we just dont trust you anymore..,Suicidal
ah.... 90's pop was so good,Not suicidal
@SonjaNorwood I see you are a fast learner LOL You went to no messages to a few pages full in just one night! Go head Ms Sonya!,Not suicidal
"@Pixieguts really???? why? Call superman, he can save you!!!! We need ya!",Not suicidal
"@JulieJoyce Sounds pretty fine to me and very pleased to hear that creepy is your cup of tea, too!",Not suicidal
"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literally…",Suicidal
@Melissa_Lyford You're such a sweet daughter-in-law! I hope it goes well today!,Not suicidal
@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not suicidal
@Doublea2thahalo dunno what u just said but i like it,Not suicidal
@thefreerpgblog Glad you enjoyed it!,Not suicidal
@anup_99 yea .. they just keep getting better,Not suicidal
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,Not suicidal
"@Tashuurrx,,RT @jaemverse: i just dont want to be here anymore",Suicidal
@EARom Voted for 'Entry #9 - ellisdabomb #4' - that was incredible...might have to play some FIFA now,Not suicidal
my wife: on his will it says he's left all his updog to you,Suicidal
@UxSoup aaaah ty,Not suicidal
@julouille3 Let me hate myself god fucking damn it,Suicidal
Done with the stress,Not suicidal
@kcofficial night Kelly x,Not suicidal
@shotdown i like the picture,Not suicidal
Can I get help?,Suicidal
@ravogd my weird dreams are a part of my life now and make me who i am xxxxxxxxx,Not suicidal
http://twitpic.com/2y7ho - edit = my mood,Not suicidal
yea I’m tired of living by myself 😭,Suicidal
Tim Fischer was on to talk about his love for his family and his…,Not suicidal
eating as usual....cant wait for Pogo thursday night! whoop,Not suicidal
@bootylove89 Haha I wish I was. I’m tired of living here. I wanna go down south,Suicidal
"@seanhannity "" Every day becomes a disappointment for us AMERICANS that want OUR AMERICA back AS it is to be ""! . L… https://t.co/qRm2xOgJxL",Suicidal
@debasispradhan hah &quot;if I don't have much time&quot; good point,Not suicidal
I have amazing people in my life that encourage nothing except the positive. Thank you Lord for blessing me.,Not suicidal
"@therealnph yeah, cool bookshelves I've got the one with the various books that are pinned to the wall",Not suicidal
"Fuck it, I can't sleep! Going shopping today",Not suicidal
"@tikitosca New York, please",Not suicidal
Make sure you email me to enter this month's giveaway - makeup from Pink Quartz Minerals!!,Not suicidal
@mickydodds Pretty much. Trying to follow the more interesting ones at the moment.,Not suicidal
"When I die, I want to have a closed casket service at my memorial. Then I want them to play “Pop Goes The Weasel” a… https://t.co/C4bKrK029g",Suicidal
@rq_woodward Lol I love it!!!,Not suicidal
"""I understand incentivizing companies to move to y… https://t.co/NRBktPKnVr",Suicidal
I don't know what to do. I'm trying so hard to make a life work. To live life. My husband literally refuses to take… https://t.co/3m3ULoIJ1b,Suicidal
"RT @mitchlafon: On This Day - November 12th 1976. Queen release single, Somebody to Love.",Suicidal
I wanna kill myself like not literally but mentally and emotionally,Suicidal
RT @mercurymalek: i fucking BEG YOU just leave me here to die I DESERVE IT https://t.co/kFBttqboUe,Suicidal
"Can't wait until the new Star Trek movie comes out, looks good",Not suicidal
I am so sick and tired of being blamed for everything that I am actually waiting for the day I die.,Suicidal
Installing Call of Duty 4... what a big DON'T... HELL YEAH,Not suicidal
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not suicidal
why is it that everyday i hate my life more and more i really feel im destined to be miserable forever,Suicidal
"so like if the man I end up spending the rest of my days with aint him, I feel like im going to hate my life.",Suicidal
@cyberpenguin I am really good...tired but good,Not suicidal
@Ryankingry You or the picture?! Cus damn both be looking so good! 😂🤩,Suicidal
everything that you’ve ever dreamed of,Suicidal
I just wanna goto that concert so damn bad but would hate myself if I spent $300 on that ticket right now,Suicidal
Celebrating a minor banking triumph (that's banking with a b). Got one to admit it was wrong,Not suicidal
@DonalMacIntyre ello you were fab on DOI im going to the tour tmwr cant wait!! xxx,Not suicidal
"checking out virtual box, looks quite nice",Not suicidal
im so tired of living. whats the point of me living if i keep whining,Suicidal
@mikeyway Liking it,Not suicidal
What causes suicidal thoughts?,Suicidal
trying to figure out how this works!,Not suicidal
Good morning...good morning..good moooooorning,Not suicidal
Tired of kickin you bitches out the house 😒 bout ready to go to sleep and wake up to the same ting forever.,Suicidal
"Noticed something interesting about this emoticon: vs D: Totally different emotions, only difference is the placement of the eyes...",Not suicidal
"@MegamanTV @tom_wilso @NHL @Capitals i play hockey, ive gotten penalties like that. dead play or not, you cant go i… https://t.co/J9vcMvoE23",Suicidal
RT @voidpaola: LOLOLOLOLOL I HATE HOW I TRUST PEOPLE WITH UGLY PICTURES OF MYSELF AND THEN THEY BREAK THAT TRUST LIKE LOL DAMN OK IT BE LIK…,Suicidal
GOD! CAN U HERME IM TIRED PLEASE KILL ME I WANT DIE,Suicidal
Ecstatic that Wal-Mart now carries Sambazon!!!,Not suicidal
RT @cparham65: Liberals say conservatives are evil. NOTHING’s further from the truth! We believe in “live &amp; let live”. Libs think that big…,Suicidal
So this goes well to show the average American trying to retire will die hungry and alone.,Suicidal
@rosskie so far it has been all shopping more again today heehee what u up to?,Not suicidal
We were tired from the concert so we ate noodles instead. After we’d eaten Emily saw photos that the restaurant has… https://t.co/uqI5KXdJD6,Suicidal
"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Suicidal
My life is miserable,Suicidal
--&gt; @katyperry in June (28) in Portugal!! I don't know... should I go? Or is just another catching song?!?,Not suicidal
is off to Dundrum with Martin,Not suicidal
tonight's the last time i'll sport this Milla-Jovovich-esque hair http://tinyurl.com/6yabk6 ) will finally have a straight do tomorrow,Not suicidal
"@myselfmp3 Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first p… https://t.co/F3aDF3M6U0",Suicidal
aahhh i need sleep but cloverfield at 3am was worth it!,Not suicidal
"wow, im sooo sad i had everything planned out on when i was going to leave home &amp; go to college in denver... and yo… https://t.co/rXS5MlxBqf",Suicidal
RT @Shen_the_Bird: doctor: i'm afraid he may never wake up from his coma,Suicidal
Is it bad to commit suicide?,Suicidal
DANIEL WON!,Suicidal
When my dog does end up passing on... my life will seriously be a tumbling downwards spiral....... that’s my life. SHES my life.,Suicidal
Sometimes you’ll never know how bad you fucked up until one day you wake up with nothing,Suicidal
I hate going into my rap zone cause then I think to myself damn people should really hear this but then I go oh wel… https://t.co/qU72v284yt,Suicidal
"@mcherrywv pleasant is right thank u V8 ppl, ur the best!!!",Not suicidal
RT @poemsandthongs: the kinda bad bitch that's ready to die anyday now,Suicidal
"@luvmandy384 I am now, by .. um.. 2 WOOOO!",Not suicidal
me when i finally die after saying i want to die every single day https://t.co/zXWoEexbQZ,Suicidal
"Final results from my CBS Bracket Challenge for the NCAA Mens Tourney: 802,911th. Surely, the 'Generation Y' folks will send me a trophy.",Not suicidal
"RT @RMFifthCircuit: This is truly a horrifying article.  Most of us don't have the underlying ""deep hereditary, mental health disorder"" tha…",Suicidal
Installing meebO at http://pkab.wordpress.com. Now you can talk with me when I am online.,Not suicidal
"@kimmmyberley Lol, he makes a few good points I love the 'customers who bought crocs also bought...', hilarious!",Not suicidal
"@emwinward I hate myself, and my damn autocorrect 😂",Suicidal
Is there any importance of living again? Why live with no love from those who surround you?,Suicidal
Tired of merely existing. Want to get to living.,Suicidal
my is school comtuper chat makeing,Not suicidal
Isn't it sad that after seeing a firetruck in front of a building my first thought was to look up in case someone w… https://t.co/Ro8dAw5j0N,Suicidal
My heart is so crushed.,Suicidal
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not suicidal
"After looking at the American suicide statistics, I was shocked to see that white men in their 40s-50s lead. Right… https://t.co/ZLYTWuxVbQ",Suicidal
RT @B8SSONS: i hate feeling the way i do,Suicidal
RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else t…,Suicidal
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunk… https://t.co/swOCDlRqWC,Suicidal
"is reading through some interesting articles on our own Extranet, surprisingly good stuff",Not suicidal
I want a XBOX but I only want it for State of Decay and I dead ass don’t have time to play it now. Really would be a pointless purchase,Suicidal
Bitch I'm gonna kill myself what the fuck,Suicidal
Damn I forgot that Spyro has a midnight release and I literally drove past GameStop I hate myself,Suicidal
"mafumafu: ""OH SH IT oH G OD"" *scrambles to get everything he didn't pack*…",Suicidal
"@monster344, how great is that?",Not suicidal
I getting tired of living the same day every single day,Suicidal
Got banned in my boy Clayster's chat by his thot gf @Lunalovebadxo for saying its sad how CoD pros wake up at 4 PM… https://t.co/9FJuA5dlC9,Suicidal
@caitlinh38 Caution: It can be addictive,Not suicidal
goodnight i really want to fucking kill myself,Suicidal
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. 🤦,Suicidal
now time for mouse to mouse pad for a long long night ahead! this is how you know you love it!,Not suicidal
@TomFelton its amazing! I saw it on Broadway with the original cast.,Not suicidal
@bob_saget Hey Remember me! I watched your car so you wouldnt get a ticket after Minskeys. You're still fabulous.,Not suicidal
If you want us to believe you want to be an American it would make sense to learn English in less than 20 years. Ot… https://t.co/mamOa6vKqz,Suicidal
totally craving chocolate and starbucks...only 4 days left,Not suicidal
"Ruby, ruby, ruby, ruby!!!: Just taken delivery of my new 'Beginning Ruby' book! Whoop whoop - another languag.. http://tinyurl.com/cd29ar",Not suicidal
What is the meaning of life?,Suicidal
RT @TheOceaneOpz: I deadass hate my damn PSN name. I wish I named myself Powerpuff234 .. There is at least one person in every 2-3 games th…,Suicidal
RT @ImHorny32503587: #HornyFact I'm so fucking tired of living I'm not smart I'm not athletic I'm not attractive I'm not talented I just ha…,Suicidal
tellin two of my bfflï¿½s to sign up here,Not suicidal
@coy0te Good morning! Feeling happier today?,Not suicidal
@tcouto Cool stuff!,Not suicidal
"cool, I've got more followers! people are interested.....",Not suicidal
@aaronspears She's soo cute Good luck with the museum thing... lol,Not suicidal
@limrobmichael Wala akong specific problem actually. I’m just so drained and tired of everything i just wanna die hahahaha,Suicidal
unfollow me now is all in gonna talk aboutfor therestof my miserable life https://t.co/ORVRYQQKby,Suicidal
How can I overcome suicide from heartbreak?,Suicidal
I hope God takes me soon. I legit am tired of living and really just wanna die. I feel like crying for everything l… https://t.co/hmnfAKgolY,Suicidal
@dandad a beautifully designed fully accessible HTML website,Not suicidal
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,Not suicidal
"I know I can’t get all the things i want in life, but when does it get to feel like at least fixing my mouth to say… https://t.co/teGorYjZWQ",Suicidal
RT @memorymess: Pain! it’s just like fire &amp; memories are the alcohol that increases its flare. Have you ever felt the crack of your broken…,Suicidal
"@joshuawhite well, you do spend enough time there that you may as well subsidize your habit.",Not suicidal
@Fran6 thx,Not suicidal
@Cookieex3 awesome!! Can't wait to see it!!,Not suicidal
@ddlovato here are 15:55 GOOD MORNING!,Not suicidal
@FuckenJew Too shy for that. Plus he already stole my brain in my sleep.,Not suicidal
It makes me hate myself and i didn't do a damn thing,Suicidal
@sofifii thats a big one!,Not suicidal
"Off to town now, see you later",Not suicidal
Damn I fucking HATE myself,Suicidal
@OfficialCole Hy Cole.I come from Germany and My biggest wish is to have contact with you.I know that I never can see you but itï¿½s OK.,Not suicidal
RT @MarvelStudios: “No one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extr…,Not suicidal
Morninggggg how am i just up now when my alarm went off two hours a go...,Not suicidal
TweetDeck Icons Annoyng your Desktop? CHANGE http://tinyurl.com/dca4r7 (From Devianart http://tinyurl.com/djg77b ),Not suicidal
"@jhaebets Nah, AUS PC is more salesy (best left to the sales guys). We have 6 of the team going from Aus to Vegas in Oct. WWPC's my scene",Not suicidal
@carriee93 we just got a picture with my boyfriend. thats what that is,Not suicidal
why do i get attached so easily this is the one thing i hate about myself the most i end up being my own worst enemy all the damn time,Suicidal
thinks she found a good group to help her refocus,Not suicidal
"sooo cool thanks so much, our stuff just shipped so I should have soon. your the best",Not suicidal
"@LisainDallas it's not 'nerd', Lisa, it's 'retard', remember? Special Olympics? I don't speak Austrian? that guy is breathtaking..",Not suicidal
@DEAHQ WHY do you raid Drs offices when you KNOW that illegal fentanyl thru mail is killing people? People are in s… https://t.co/Q5vMW7XJIq,Suicidal
"@sallyinnorfolk awww, you'll have to use Twitter for company",Not suicidal
ways in which one can do to control the thoughts of suicide,Suicidal
"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not suicidal
@stml Have you been overdoing the William Gibson novels?,Not suicidal
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better for… https://t.co/oAh2tUnbXt,Suicidal
"Feel lucky to work with 2 shining young stars in #Healthcare, honored by @Forbes #30Under30 today ...… https://t.co/dkqUolP2RV",Not suicidal
"@SociallyCubed i miss IRC culture, Twitter is like the mainstream version, without the trout slapping",Not suicidal
@Target I am loving you a.n.d line at the moment! And my bank balance is liking it too! Great style made affordable #style #shopping,Not suicidal
,Not suicidal
I feel like I want to end my life,Suicidal
@jinjaDev watch out for the 2pm brick wall that jumps out at you once the caffeine rush ends,Not suicidal
Why are most of my friends ignoring me? why is it I am going through much in life compared to others,Suicidal
So cut my wrist and black my eyes,Suicidal
"@diablocody That is how I am, but it is Valley Girl that I must watch. Nic Cage as Randy = yum. LOL!!",Not suicidal
"@inspireinspire aw, I am so jealous! ) please, take me with you",Not suicidal
When will !pidgin integrate otr-encryption as a standard component like !adium does? I will really appreciate that!,Not suicidal
@jackhii n i got yr pic posing in the server room ..,Not suicidal
@joyciebo hi cutie welcome to the twitternation,Not suicidal
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not suicidal
just had lovely cuddle with Tali Virgo,Not suicidal
"Please retweet my Weed G. Board!!! The coolest adult cartoon.  I'm tired of living the worst times of my life, plea… https://t.co/jxWJLxgT9x",Suicidal
I'm not really feeling the whole 'going to class and being productive' thing today....hooky?!,Not suicidal
@fudgegraphics Hope you had a fun time mate,Not suicidal
@christinamendez: My list is short; so does that mean the my God is huge too? LoL,Not suicidal
@BMkerchief I love each time up post an update. Ur profile picture is an amazing site let me tell u!,Not suicidal
@Valvert : have a nice day to,Not suicidal
So I blew hella money at Joann’s 😂 damn it. I hate that I do this to myself but I love to make shit,Suicidal
"important meetings happening all over the office, and i'm not needed in any of them. YES!",Not suicidal
@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not suicidal
"@eliseland :O he just replied to someone... Dougie replied to quite a few people this afternoon so you never know... besides, it's fun!",Not suicidal
@michaelgrainger @Scyranth *gigglessssssss* Ya'll are awesomesauce,Not suicidal
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not suicidal
I love everyone else while I hate myself,Suicidal
"@HeavenlyHev how was it, so I know what to expect?",Not suicidal
i’ve been ugly all my life ugh this is not fair i wanna be cute for at least one era of my miserable life.,Suicidal
@nikkiclifton Thank you precious woman. May you receive that and exceedingly more than you could ever hope for or imagine.,Not suicidal
The jobs front doesnt look so bleak today !!,Not suicidal
"@nicolaisbombay i thought it meant you are my destiny too! cause of the song! hahaha, and yes, they're coming.",Not suicidal
Wheat Thins and Diet Dr. Pepper = breakfast of champions...or people who wake-up late and grab the first thing they can find...,Not suicidal
#smallbizz #entrepreneur #entrepreneurlifestyle https://t.co/dEHV7DED58,Suicidal
Good morning! The sun is shining and I am going to the beach with a few bff's. See later when I am all tan.,Not suicidal
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not suicidal
RT @therealMickeyT: Wasn't the performance we wanted but delighted with a point we're still unbeaten &amp; got the best GK in the world,Not suicidal
"@vfpuk My G-Grandfather fought in WW1, earning the military medal at La Boisselle. Then in ‘39 the thought of fight… https://t.co/gh1oCMsz7Q",Suicidal
"@markdan_03 nope, ahm.. preps for props",Not suicidal
@beelarge I should have mine today then,Not suicidal
Focus on opportunities more than you focus on money.,Not suicidal
@joemcintyre WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!!,Not suicidal
"@limyh Eh...where got face off la...we are all kawans here. Right or not, @staronline?",Not suicidal
@DonnieWahlberg Lucky for me I'm going to see that show in NY I hope that you will bring it to Europe too in the fall. I'll be there too,Not suicidal
@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not suicidal
@turnitgrey oh gosh. I didn't think you were that old. oh well I'll still like you when your 25 hahaha.,Not suicidal
"@pjgariel Yeah, still chilly here too but s'posed to return to normal temps this week. Gonna spend some time with the girls this week!",Not suicidal
RT @enews: Congratulations to #BTS for winning Music Group of 2018 at the #PCAs. https://t.co/H278vwYwMt,Not suicidal
i hate that i’m not okay. i hate that i fucking want to kill myself but don’t bc i don’t want to leave my family st… https://t.co/QKmnrE63Ea,Suicidal
RT @dcostaroberts: The Pentagon spent millions to prevent suicides. But the suicide rate went up instead.  https://t.co/D7BaGVTi9h,Suicidal
"@jaimiefanatic about time that Mc Flipside mix came out, its sooooooooooooo goooooooooood",Not suicidal
"@Peerug you been puffing on that dragon again, ey?",Not suicidal
"@aT_TooL,Woke ,RT @NFear: Life is hard. I never thought I’d come onto social media to vent/talk about my feelings. But man my life sucks. I dont want atte…",Suicidal
"@CHRISDJMOYLES im gonna watch T.M. 2 c wot they hav 2 say bout TWITTER, yor show was brilliant as ever this mornin - katie x",Not suicidal
Tired of living like this,Suicidal
RT @HelmanDC: I know you think you're sad that the Cowboys don't play today. But any day your team can't lose is an occasion worth celebrate,Not suicidal
What can i do to avoid the shame from the village people,Suicidal
going back to straighten my hair download some nds roms first though,Not suicidal
Ways of distracting myself,Suicidal
In reality social media don’t care about a mans mental health or don’t want to speak on it until he’s dead lets be real,Suicidal
RT @CapcomFighters: Congratulations again to @tokidoki77 for taking the Asia Regional Finals title! Thanks to @Yoshi_OnoChin for giving out,Not suicidal
"@animeesay,,I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone take care.",Suicidal
"Damn, i hate myself @EvoPvPServer",Suicidal
Working on a film. Have been busy. Have a nice day everyone,Not suicidal
RT @porrafelipeee: They figure me a dead motherfucker,Suicidal
"@khushi4all Don't make a topic, am sure you'll get some replies soon.",Not suicidal
"RT @no1bihet: One day ill kill myself and my suicide note will just be some shit like ""my arms are kinda chubby. Bye""",Suicidal
